"Module","ID","Type","Description"
"00_e2e_fullflow","E2E-1","Positive (E2E)","  E2E-1: Full Flow ??? Search Dealer ??? Asset Cart"
"06_productSelection","06A-1","Positive (E2E)","  06A-1: E2E ??? Product Selection ??? Select SAMYANG product ??? Proceed"
"06_productSelection","06A-2","Negative (E2E)","  06A-2 [Negative]: E2E ??? Product Selection ??? Loan exceeds Invoice ??? Validation"
"07_incomeDeclaration","07A-1","Positive (E2E)","  07A-1: E2E ? Income Declaration ? Declare income ? Proceed"
"07_incomeDeclaration","07A-2","Negative (E2E)","  07A-2 [Negative]: E2E ? Income Declaration ? Proceed without income ? Validation"
"08_kyc","08A-2","Negative (E2E)","  08A-2 [Negative]: E2E ? KYC ? Proceed without selecting document ? Validation"
"08_kyc","08A-3","Positive (E2E)","  08A-3: E2E ? KYC ? Complete E-KYC (System Issue)"
"08_kyc","08A-4","Positive (E2E)","  08A-4: E2E ? KYC ? Verify KYC screen elements"
"09_poi","09A-1","Positive (E2E)","  09A-1: E2E ? POI ? Fill Aadhaar details ? Proceed"
"09_poi","09A-2","Negative (E2E)","  09A-2 [Negative]: E2E ? POI ? Proceed without mandatory fields ? Validation"
"09_poi","09A-3","Positive (E2E)","  09A-3: E2E ? POI ? Fill POI with PAN card"
"09_poi","09A-4","Positive (E2E)","  09A-4: E2E ? POI ? Fill POI with Passport"
"09_poi","09A-5","Negative (E2E)","  09A-5 [Negative]: E2E ? POI ? Invalid Aadhaar format"
"09_poi","09A-6","Negative (E2E)","  09A-6 [Negative]: E2E ? POI ? Invalid PAN format"
"10_poa","10A-1","Positive (E2E)","  10A-1: E2E ? POA ? Fill Self Owned POA ? Proceed"
"10_poa","10A-2","Negative (E2E)","  10A-2 [Negative]: E2E ? POA ? Proceed without address ? Validation"
"10_poa","10A-3","Positive (E2E)","  10A-3: E2E ? POA ? Fill Rented POA ? Proceed"
"10_poa","10A-4","Negative (E2E)","  10A-4 [Negative]: E2E ? POA ? Invalid document number ? Validation"
"10_poa","10A-5","Positive (E2E)","  10A-5: E2E ? POA ? Verify Residence Types"
"11_surrogateDetails","E2E-1","Positive (E2E)","  E2E-1: Full flow ??? Surrogate ??? Credit Program + RSA = No ??? Check Approval"
"11_surrogateDetails","E2E-2","Positive (E2E)","  E2E-2: Full flow ??? Surrogate ??? RSA = FOS + Reject Reason ??? Check Approval"
"11_surrogateDetails","E2E-3","Positive (E2E)","  E2E-3: Full flow ??? Check Approval ??? Underwriting ??? Approval Details"
"11_surrogateDetails","11A-1","Positive (E2E)","  11A-1: E2E ??? Surrogate Details ??? Select credit program ??? Check Approval ??? View Approval Details"
"11_surrogateDetails","11A-2","Negative (E2E)","  11A-2 [Negative]: E2E ??? Surrogate Details ??? Check Approval without Credit Program ??? Validation"
"11_surrogateDetails","11A-3","Positive (E2E)","  11A-3: E2E ??? Surrogate Details ??? RSA = Dealer + Reject Reason ??? Check Approval"
"11_surrogateDetails","11A-4","Negative (E2E)","  11A-4 [Negative]: E2E ??? Surrogate Details ??? RSA = FOS without Reject Reason ??? Validation"
"11_surrogateDetails","11A-5","Negative (E2E)","  11A-5 [Negative]: E2E ??? Surrogate Details ??? Check Approval without Bank Name ??? Validation"
